S,I,R
0.999999833333333,1.66666666666667e-07,0
0.999999742653148,1.96893382268492e-07,6.04534696532681e-08
0.999999635492151,2.32613691954879e-07,1.31894156548578e-07
0.999999508925206,2.74802637622877e-07,2.16272156284525e-07
0.999999359449121,3.24627943213825e-07,3.15922935373727e-07
0.999999182844361,3.83496111200637e-07,4.33659527887592e-07
0.999998974175042,4.53052422587799e-07,5.72772535456326e-07
0.999998670266277,5.543415371291e-07,7.75392185623874e-07
0.999998243291492,6.96632077740315e-07,1.06007643032265e-06
0.999997733400136,8.66550011458542e-07,1.40004985206657e-06
0.99999717087516,1.05400884850881e-06,1.7751159915455e-06
0.99999657613301,1.25220964230409e-06,2.17165734762521e-06
0.999995959723633,1.45764098944527e-06,2.58263537734739e-06
0.999995322330474,1.67007902972118e-06,3.00759049592965e-06
0.999994654770477,1.8925874461086e-06,3.45264207676553e-06
0.999993937994084,2.13151746477222e-06,3.93048845142447e-06
0.999993143085235,2.39650785506466e-06,4.46040690965184e-06
0.999992231261371,2.70048492952651e-06,5.06825369936895e-06
0.999991153873429,3.05966254388625e-06,5.786464026673e-06
0.999989852405847,3.49354209706033e-06,6.65405205583714e-06
0.999988258476559,4.02491253115312e-06,7.71661090931041e-06
0.999986293837001,4.67985033145688e-06,9.02631266771775e-06
0.999983870372104,5.4877195264519e-06,1.06419083698601e-05
0.999980890100299,6.48117168780632e-06,1.26287280127143e-05
0.999977245173518,7.69614593037624e-06,1.5058680551433e-05
0.999972817877188,9.17186891220572e-06,1.8010253899345e-05
0.999967480630237,1.09508548345267e-05,2.15685149279546e-05
0.999961095985091,1.30789054417591e-05,2.58251094669426e-05
0.999953516627674,1.56051100215107e-05,3.08782623041653e-05
0.99994458537741,1.85818454045774e-05,3.6832777185655e-05
0.999934135187219,2.20647759649428e-05,4.38000368156199e-05
0.999921989143524,2.61128536197785e-05,5.18980028564444e-05
0.999907761235444,3.08546291364695e-05,6.13841354197587e-05
0.999890959698853,3.64539466176439e-05,7.25863545292406e-05
0.999871150352396,4.30554865863628e-05,8.57941610173257e-05
0.999847777364013,5.08443601598645e-05,0.000101378275827581
0.999820163250936,6.00461090495652e-05,0.000119790640014707
0.999787508879694,7.0926705561058e-05,0.000141564414744533
0.999748893466112,8.37925525941143e-05,0.000167313981294023
0.999703274575306,9.89904836426823e-05,0.000197734941051271
0.999649374246711,0.000116945042027154,0.000233680711262045
0.999585696307147,0.000138153673240856,0.00027615001961251
0.999510626447123,0.000163154049767133,0.000326219503109849
0.999422089148147,0.000192635814327774,0.000385275037524907
0.999317540361755,0.000227442968347119,0.000455016669897761
0.99919396750951,0.000268573871952058,0.000537458618537725
0.999047889483004,0.000317181243972028,0.000634929273023346
0.998875356643859,0.00037457216193902,0.000750071194202405
0.998671723868543,0.00044227852841028,0.000885997603046479
0.998431254442962,0.000522189597768644,0.00104655595926918
0.998147839362012,0.000616333259286889,0.00123582737870084
0.997813796291031,0.000727239584974241,0.00145896412399479
0.997419772029106,0.000857970650887529,0.00172225732000673
0.996954742509074,0.00101212053713118,0.00203313695379474
0.996406012797523,0.00119381532785724,0.00240017187461925
0.995759217094792,0.00140771311126535,0.0028330697939431
0.994997358980441,0.00165924207806151,0.00334339894149725
0.994100366408554,0.00195486006272781,0.00394477352871854
0.993045629549134,0.00230189457693262,0.00465247587393294
0.991805816807233,0.00270897563557266,0.00548520755719435
0.990348837911846,0.00318604380415794,0.00646511828399643
0.988637843915915,0.00374435019881181,0.0076178058852726
0.986631227196333,0.00439645648627098,0.00897231631739603
0.984282556872256,0.00515601623030999,0.0105614268974336
0.981537974694416,0.00603819425211179,0.0124238310534723
0.978334672178329,0.00706191174186137,0.0146034160798098
0.97460328088058,0.00824639367034165,0.0171503254490784
0.97026803698079,0.00961076158799569,0.0201212014312139
0.965246781281618,0.0111740336249268,0.023579185093455
0.959450959208758,0.0129551244908984,0.0275939163003438
0.952785978189467,0.014972678515599,0.0322413432949341
0.945166644096889,0.0172372003562873,0.0375961555468239
0.936482914995419,0.0197652702217453,0.0437518147828354
0.9266286640613,0.0225671051274797,0.0508042308112204
0.915521044221491,0.0256378175361451,0.0588411382423641
0.903100488153672,0.0289574153575434,0.0679420964887847
0.889330708286242,0.0324908019486241,0.0781784897651335
0.87419869679832,0.0361877761134844,0.0896135270881951
0.857713536766869,0.0399839361470405,0.10230252708609
0.83988374770412,0.0438267750433888,0.116289477252491
0.820850462149917,0.0475994094764392,0.131550128373644
0.800810751556649,0.0511690529990005,0.148020195444351
0.779970326640507,0.0544196253333182,0.165610048026174
0.758543537381488,0.057251752371075,0.184204710247437
0.736753373023389,0.0595827661733905,0.20366386080322
0.714831462073812,0.0613467049708211,0.223821832955367
0.693018072304162,0.0624943131633603,0.244487614532477
0.671562110749647,0.0629930413204387,0.265444847929914
0.650721123709278,0.0628270461809237,0.286451830109798
0.630707728339646,0.0620122193886084,0.307280052271746
0.611644265700915,0.0606147139352971,0.327741020363788
0.593646434019367,0.0587072781928736,0.347646287787759
0.576797163227609,0.0563664649136074,0.366836371858783
0.561146507112155,0.0536726518809447,0.3851808410069
0.546711643313424,0.0507100419095079,0.402578314777068
0.533476873325741,0.0475666628450962,0.418956463829162
0.521393622497341,0.0443343675646851,0.434272009937974
0.510385971575173,0.0411054889063953,0.448508539518432
0.500415084600677,0.0379246482347189,0.461660267164604
0.491413327069794,0.0348251031912355,0.473761569738971
0.4833031187412,0.0318399317037568,0.484856949555043
0.476011438887708,0.0289956533593812,0.49499290775291
0.469469826296267,0.0263122294044941,0.504217944299238
0.46361437926796,0.0238030627447677,0.512582557987272
0.458385755618004,0.0214749979451606,0.520139246436836
0.453729172675752,0.0193283212299186,0.526942506094329
0.449586882669661,0.0173576721084135,0.533055445221925
0.445897802436933,0.0155563200891576,0.538545877473909
0.442620067982995,0.0139164642046577,0.543463467812347
0.43971401446538,0.0124296220682197,0.5478563634664
0.437141586750093,0.0110866612522593,0.551771751997648
0.434866339411618,0.00987779928830097,0.555255861300081
0.432853436732914,0.00879260366697845,0.558353959600107
0.431069652705416,0.00781999183803472,0.561110355456549
0.429483995218866,0.00694830676745309,0.563567698013681
0.428075940564494,0.00616759373711497,0.565756465698391
0.42682949384043,0.00547036606866297,0.567700140090906
0.42572868306864,0.0048493872035046,0.569421929727855
0.424758039001518,0.00429753825436138,0.57094442274412
0.423902595121889,0.00380781800526879,0.572289586872842
0.423147887643009,0.00337334291157627,0.573478769445414
0.422479955508564,0.00298734709994725,0.574532697391489
0.421886464560174,0.00264360118402318,0.575469934255803
0.421361075230983,0.0023382903747974,0.57630063439422
0.420897046158823,0.00206774297190473,0.577035210869272
0.420487721300895,0.00182836377452995,0.577683914924575
0.420126792161083,0.00161671993973713,0.57825648789918
0.419808297789949,0.00142954098246964,0.578762161227581
0.419526624784736,0.00126371877555012,0.579209656439714
0.419277133039493,0.00111663244691945,0.579606234513588
0.419056653915669,0.000986454466062102,0.579956891618269
0.418862111319923,0.000871428707579224,0.580266459972498
0.418690593521984,0.000769887889794573,0.580539518588222
0.418539353387748,0.0006802536892813,0.58078039292297
0.418405808379282,0.00060103674086195,0.580993154879855
0.418287597604981,0.00053086848845622,0.581181533906562
0.418183054145703,0.000468771164112207,0.581348174690185
0.418090772100137,0.000413921233191478,0.581495306666672
0.418009402888834,0.00036552872920791,0.581625068381958
0.417937673986717,0.000322847172723854,0.581739478840559
0.417874388923081,0.000285173571350145,0.581840437505569
0.417818428175815,0.00025184892700749,0.581929722897178
0.417768876677472,0.000222332328420614,0.582008790994107
0.417725095528649,0.000196245161514356,0.582078659309837
0.417686489335674,0.000173234901531789,0.582140275762794
0.417652486944717,0.000152963238340784,0.582194549816942
0.417622541441784,0.000135106076434009,0.582242352481781
0.417596130152723,0.000119353534928927,0.582284516312347
0.417572754705144,0.000105409983198287,0.582321835311657
0.417552007873915,9.30332261101735e-05,0.582354958899975
0.417533648566963,8.20794594707745e-05,0.582384271973566
0.417517454959586,7.24166252417157e-05,0.582410128415172
0.41750320811638,6.39143870678779e-05,0.582432877496552
0.417490691991235,5.64441302773968e-05,0.582452863878487
0.417479693427342,4.98789618816636e-05,0.582470427610776
0.417470002157187,4.40937105753245e-05,0.582485904132238
0.417461410802554,3.8964926736281e-05,0.582499624270709
0.417453742104976,3.43869700231211e-05,0.582511870925001
0.417446924961997,3.03172193717703e-05,0.582522757818631
0.417440897568258,2.67187806271887e-05,0.582532383651115
0.417435594833369,2.3552812581964e-05,0.582540852354048
0.417430949002755,2.07788905864049e-05,0.582548272106658
0.417426889657651,1.83550065485409e-05,0.5825547553358
0.417423343715103,1.62375689341219e-05,0.582560418715962
0.417420235427973,1.43814027666187e-05,0.58256538316926
0.417417486384932,1.27397496272227e-05,0.58256977386544
0.417415015675257,1.126436549554e-05,0.582573719959247
0.417412779896249,9.92931021647871e-06,0.582577290793534
0.417410779217569,8.73463156121076e-06,0.582580486150869
